txn_date,province,new_case,total_case,new_case_excludeabroad,total_case_excludeabroad,new_death,total_death
2020-01-13,นนทบุรี,0,0,0,0,0,0
2020-01-13,นราธิวาส,0,0,0,0,0,0
2020-01-13,น่าน,0,0,0,0,0,0
2020-01-13,บึงกาฬ,0,0,0,0,0,0
2020-01-13,บุรีรัมย์,0,0,0,0,0,0
2020-01-13,ปทุมธานี,0,0,0,0,0,0
2020-01-13,ประจวบคีรีขันธ์,0,0,0,0,0,0
2020-01-13,ปราจีนบุรี,0,0,0,0,0,0
2020-01-13,ปัตตานี,0,0,0,0,0,0
2020-01-13,พระนครศรีอยุธยา,0,0,0,0,0,0
2020-01-13,พะเยา,0,0,0,0,0,0
2020-01-13,พังงา,0,0,0,0,0,0
2020-01-13,พัทลุง,0,0,0,0,0,0
2020-01-13,พิจิตร,0,0,0,0,0,0
2020-01-13,พิษณุโลก,0,0,0,0,0,0
2020-01-13,ภูเก็ต,0,0,0,0,0,0
2020-01-13,มหาสารคาม,0,0,0,0,0,0
2020-01-13,มุกดาหาร,0,0,0,0,0,0
2020-01-13,ยะลา,0,0,0,0,0,0
2020-01-13,ยโสธร,0,0,0,0,0,0
2020-01-13,ระนอง,0,0,0,0,0,0
2020-01-13,ระยอง,0,0,0,0,0,0
2020-01-13,ราชบุรี,0,0,0,0,0,0
2020-01-13,ร้อยเอ็ด,0,0,0,0,0,0
2020-01-13,ลพบุรี,0,0,0,0,0,0
2020-01-13,ลำปาง,0,0,0,0,0,0
2020-01-13,ลำพูน,0,0,0,0,0,0
2020-01-13,ศรีสะเกษ,0,0,0,0,0,0
2020-01-13,สกลนคร,0,0,0,0,0,0
2020-01-13,สงขลา,0,0,0,0,0,0
2020-01-13,สตูล,0,0,0,0,0,0
2020-01-13,สมุทรปราการ,0,0,0,0,0,0
2020-01-13,สมุทรสงคราม,0,0,0,0,0,0
2020-01-13,สมุทรสาคร,0,0,0,0,0,0
2020-01-13,สระบุรี,0,0,0,0,0,0
2020-01-13,สระแก้ว,0,0,0,0,0,0
2020-01-13,สิงห์บุรี,0,0,0,0,0,0
2020-01-13,สุพรรณบุรี,0,0,0,0,0,0
2020-01-13,สุราษฎร์ธานี,0,0,0,0,0,0
2020-01-13,สุรินทร์,0,0,0,0,0,0
2020-01-13,สุโขทัย,0,0,0,0,0,0
2020-01-13,หนองคาย,0,0,0,0,0,0
2020-01-13,หนองบัวลำภู,0,0,0,0,0,0
2020-01-13,อำนาจเจริญ,0,0,0,0,0,0
2020-01-13,อุดรธานี,0,0,0,0,0,0
2020-01-13,อุตรดิตถ์,0,0,0,0,0,0
2020-01-13,อุทัยธานี,0,0,0,0,0,0
2020-01-13,อุบลราชธานี,0,0,0,0,0,0
2020-01-13,อ่างทอง,0,0,0,0,0,0
2020-01-13,เชียงราย,0,0,0,0,0,0
2020-01-13,เชียงใหม่,0,0,0,0,0,0
2020-01-13,เพชรบุรี,0,0,0,0,0,0
2020-01-13,เพชรบูรณ์,0,0,0,0,0,0
2020-01-13,เลย,0,0,0,0,0,0
2020-01-13,แพร่,0,0,0,0,0,0
2020-01-13,แม่ฮ่องสอน,0,0,0,0,0,0
2020-01-13,ไม่ระบุ,0,0,0,0,0,0
2020-01-14,กระบี่,0,0,0,0,0,0
2020-01-14,กรุงเทพมหานคร,0,1,0,0,0,0
2020-01-14,กาญจนบุรี,0,0,0,0,0,0
2020-01-14,กาฬสินธุ์,0,0,0,0,0,0
2020-01-14,กำแพงเพชร,0,0,0,0,0,0
2020-01-14,ขอนแก่น,0,0,0,0,0,0
2020-01-14,จันทบุรี,0,0,0,0,0,0
2020-01-14,ฉะเชิงเทรา,0,0,0,0,0,0
2020-01-14,ชลบุรี,0,0,0,0,0,0
2020-01-14,ชัยนาท,0,0,0,0,0,0
2020-01-14,ชัยภูมิ,0,0,0,0,0,0
2020-01-14,ชุมพร,0,0,0,0,0,0
2020-01-14,ตรัง,0,0,0,0,0,0
2020-01-14,ตราด,0,0,0,0,0,0
2020-01-14,ตาก,0,0,0,0,0,0
2020-01-14,นครนายก,0,0,0,0,0,0
2020-01-14,นครปฐม,0,0,0,0,0,0
2020-01-14,นครพนม,0,0,0,0,0,0
2020-01-14,นครราชสีมา,0,0,0,0,0,0
2020-01-14,นครศรีธรรมราช,0,0,0,0,0,0
2020-01-14,นครสวรรค์,0,0,0,0,0,0
2020-01-14,นนทบุรี,0,0,0,0,0,0
2020-01-14,นราธิวาส,0,0,0,0,0,0
2020-01-14,น่าน,0,0,0,0,0,0
2020-01-14,บึงกาฬ,0,0,0,0,0,0
2020-01-14,บุรีรัมย์,0,0,0,0,0,0
2020-01-14,ปทุมธานี,0,0,0,0,0,0
2020-01-14,ประจวบคีรีขันธ์,0,0,0,0,0,0
2020-01-14,ปราจีนบุรี,0,0,0,0,0,0
2020-01-14,ปัตตานี,0,0,0,0,0,0
2020-01-14,พระนครศรีอยุธยา,0,0,0,0,0,0
2020-01-14,พะเยา,0,0,0,0,0,0
2020-01-14,พังงา,0,0,0,0,0,0
2020-01-14,พัทลุง,0,0,0,0,0,0
2020-01-14,พิจิตร,0,0,0,0,0,0
2020-01-14,พิษณุโลก,0,0,0,0,0,0
2020-01-14,ภูเก็ต,0,0,0,0,0,0
2020-01-14,มหาสารคาม,0,0,0,0,0,0
2020-01-14,มุกดาหาร,0,0,0,0,0,0
2020-01-14,ยะลา,0,0,0,0,0,0
2020-01-14,ยโสธร,0,0,0,0,0,0
2020-01-14,ระนอง,0,0,0,0,0,0
2020-01-14,ระยอง,0,0,0,0,0,0
2020-01-14,ราชบุรี,0,0,0,0,0,0
2020-01-14,ร้อยเอ็ด,0,0,0,0,0,0
2020-01-14,ลพบุรี,0,0,0,0,0,0
2020-01-14,ลำปาง,0,0,0,0,0,0
2020-01-14,ลำพูน,0,0,0,0,0,0
2020-01-14,ศรีสะเกษ,0,0,0,0,0,0
2020-01-14,สกลนคร,0,0,0,0,0,0
2020-01-14,สงขลา,0,0,0,0,0,0
2020-01-14,สตูล,0,0,0,0,0,0
2020-01-14,สมุทรปราการ,0,0,0,0,0,0
2020-01-14,สมุทรสงคราม,0,0,0,0,0,0
2020-01-14,สมุทรสาคร,0,0,0,0,0,0
2020-01-14,สระบุรี,0,0,0,0,0,0
2020-01-14,สระแก้ว,0,0,0,0,0,0
2020-01-14,สิงห์บุรี,0,0,0,0,0,0
2020-01-14,สุพรรณบุรี,0,0,0,0,0,0
2020-01-14,สุราษฎร์ธานี,0,0,0,0,0,0
2020-01-14,สุรินทร์,0,0,0,0,0,0
2020-01-14,สุโขทัย,0,0,0,0,0,0
2020-01-14,หนองคาย,0,0,0,0,0,0
2020-01-14,หนองบัวลำภู,0,0,0,0,0,0
2020-01-14,อำนาจเจริญ,0,0,0,0,0,0
2020-01-14,อุดรธานี,0,0,0,0,0,0
2020-01-14,อุตรดิตถ์,0,0,0,0,0,0
2020-01-14,อุทัยธานี,0,0,0,0,0,0
2020-01-14,อุบลราชธานี,0,0,0,0,0,0
2020-01-14,อ่างทอง,0,0,0,0,0,0
2020-01-14,เชียงราย,0,0,0,0,0,0
2020-01-14,เชียงใหม่,0,0,0,0,0,0
2020-01-14,เพชรบุรี,0,0,0,0,0,0
2020-01-14,เพชรบูรณ์,0,0,0,0,0,0
2020-01-14,เลย,0,0,0,0,0,0
2020-01-14,แพร่,0,0,0,0,0,0
2020-01-14,แม่ฮ่องสอน,0,0,0,0,0,0
2020-01-14,ไม่ระบุ,0,0,0,0,0,0
2020-01-15,กระบี่,0,0,0,0,0,0
2020-01-15,กรุงเทพมหานคร,0,1,0,0,0,0
2020-01-15,กาญจนบุรี,0,0,0,0,0,0
2020-01-15,กาฬสินธุ์,0,0,0,0,0,0
2020-01-15,กำแพงเพชร,0,0,0,0,0,0
2020-01-15,ขอนแก่น,0,0,0,0,0,0
2020-01-15,จันทบุรี,0,0,0,0,0,0
2020-01-15,ฉะเชิงเทรา,0,0,0,0,0,0
2020-01-15,ชลบุรี,0,0,0,0,0,0
2020-01-15,ชัยนาท,0,0,0,0,0,0
2020-01-15,ชัยภูมิ,0,0,0,0,0,0
2020-01-15,ชุมพร,0,0,0,0,0,0
2020-01-15,ตรัง,0,0,0,0,0,0
2020-01-15,ตราด,0,0,0,0,0,0
2020-01-15,ตาก,0,0,0,0,0,0
2020-01-15,นครนายก,0,0,0,0,0,0
2020-01-15,นครปฐม,0,0,0,0,0,0
2020-01-15,นครพนม,0,0,0,0,0,0
2020-01-15,นครราชสีมา,0,0,0,0,0,0
2020-01-15,นครศรีธรรมราช,0,0,0,0,0,0
2020-01-15,นครสวรรค์,0,0,0,0,0,0
2020-01-15,นนทบุรี,0,0,0,0,0,0
2020-01-15,นราธิวาส,0,0,0,0,0,0
2020-01-15,น่าน,0,0,0,0,0,0
2020-01-15,บึงกาฬ,0,0,0,0,0,0
2020-01-15,บุรีรัมย์,0,0,0,0,0,0
2020-01-15,ปทุมธานี,0,0,0,0,0,0
2020-01-15,ประจวบคีรีขันธ์,0,0,0,0,0,0
2020-01-15,ปราจีนบุรี,0,0,0,0,0,0
2020-01-15,ปัตตานี,0,0,0,0,0,0
2020-01-15,พระนครศรีอยุธยา,0,0,0,0,0,0
2020-01-15,พะเยา,0,0,0,0,0,0
2020-01-15,พังงา,0,0,0,0,0,0
2020-01-15,พัทลุง,0,0,0,0,0,0
2020-01-15,พิจิตร,0,0,0,0,0,0
2020-01-15,พิษณุโลก,0,0,0,0,0,0
2020-01-15,ภูเก็ต,0,0,0,0,0,0
2020-01-15,มหาสารคาม,0,0,0,0,0,0
2020-01-15,มุกดาหาร,0,0,0,0,0,0
2020-01-15,ยะลา,0,0,0,0,0,0
2020-01-15,ยโสธร,0,0,0,0,0,0
2020-01-15,ระนอง,0,0,0,0,0,0
2020-01-15,ระยอง,0,0,0,0,0,0
2020-01-15,ราชบุรี,0,0,0,0,0,0
2020-01-15,ร้อยเอ็ด,0,0,0,0,0,0
2020-01-15,ลพบุรี,0,0,0,0,0,0
2020-01-15,ลำปาง,0,0,0,0,0,0
2020-01-15,ลำพูน,0,0,0,0,0,0
2020-01-15,ศรีสะเกษ,0,0,0,0,0,0
2020-01-15,สกลนคร,0,0,0,0,0,0
2020-01-15,สงขลา,0,0,0,0,0,0
2020-01-15,สตูล,0,0,0,0,0,0
2020-01-15,สมุทรปราการ,0,0,0,0,0,0
2020-01-15,สมุทรสงคราม,0,0,0,0,0,0
2020-01-15,สมุทรสาคร,0,0,0,0,0,0
2020-01-15,สระบุรี,0,0,0,0,0,0
2020-01-15,สระแก้ว,0,0,0,0,0,0
2020-01-15,สิงห์บุรี,0,0,0,0,0,0
2020-01-15,สุพรรณบุรี,0,0,0,0,0,0
2020-01-15,สุราษฎร์ธานี,0,0,0,0,0,0
2020-01-15,สุรินทร์,0,0,0,0,0,0
2020-01-15,สุโขทัย,0,0,0,0,0,0
2020-01-15,หนองคาย,0,0,0,0,0,0
2020-01-15,หนองบัวลำภู,0,0,0,0,0,0
2020-01-15,อำนาจเจริญ,0,0,0,0,0,0
2020-01-15,อุดรธานี,0,0,0,0,0,0
2020-01-15,อุตรดิตถ์,0,0,0,0,0,0
2020-01-15,อุทัยธานี,0,0,0,0,0,0
2020-01-15,อุบลราชธานี,0,0,0,0,0,0
2020-01-15,อ่างทอง,0,0,0,0,0,0
2020-01-15,เชียงราย,0,0,0,0,0,0
2020-01-15,เชียงใหม่,0,0,0,0,0,0
2020-01-15,เพชรบุรี,0,0,0,0,0,0
2020-01-15,เพชรบูรณ์,0,0,0,0,0,0
2020-01-15,เลย,0,0,0,0,0,0
2020-01-15,แพร่,0,0,0,0,0,0
2020-01-15,แม่ฮ่องสอน,0,0,0,0,0,0
2020-01-15,ไม่ระบุ,0,0,0,0,0,0
2020-01-16,กระบี่,0,0,0,0,0,0
2020-01-16,กรุงเทพมหานคร,0,1,0,0,0,0
2020-01-16,กาญจนบุรี,0,0,0,0,0,0
2020-01-16,กาฬสินธุ์,0,0,0,0,0,0
2020-01-16,กำแพงเพชร,0,0,0,0,0,0
2020-01-16,ขอนแก่น,0,0,0,0,0,0
2020-01-16,จันทบุรี,0,0,0,0,0,0
2020-01-16,ฉะเชิงเทรา,0,0,0,0,0,0
2020-01-16,ชลบุรี,0,0,0,0,0,0
2020-01-16,ชัยนาท,0,0,0,0,0,0
2020-01-16,ชัยภูมิ,0,0,0,0,0,0
2020-01-16,ชุมพร,0,0,0,0,0,0
2020-01-16,ตรัง,0,0,0,0,0,0
2020-01-16,ตราด,0,0,0,0,0,0
2020-01-16,ตาก,0,0,0,0,0,0
2020-01-16,นครนายก,0,0,0,0,0,0
2020-01-16,นครปฐม,0,0,0,0,0,0
2020-01-16,นครพนม,0,0,0,0,0,0
2020-01-16,นครราชสีมา,0,0,0,0,0,0
2020-01-16,นครศรีธรรมราช,0,0,0,0,0,0
2020-01-16,นครสวรรค์,0,0,0,0,0,0
2020-01-16,นนทบุรี,0,0,0,0,0,0
